productId,productName,retailPrice,wholesalePrice,discontinued,numInBottle
96,Optimal LeanClean Protein + Collagen - Vanilla Birthday Cake,$90.00,$49.50,,
97,"21 Day Blitz Challenge Kit (Flora Blitz 100, Digestion, Pill Pouch, Booklet and Bag)",$110.00,$110.00,,
98,"Big C Nutrient Paks Bundle (three 60 count nutrient paks - 60 count each): Pak #1 (4 EFA (2 per packet), 4 Fat/Sugar Trim (2 per packet), 4 Phytonutrients (2 per packet), 4 DAK1K2 (2 per packet)), Pak #2 (4 Magnesium, 4 Resveratrol, 4 Shrooms, 4 Para), Pak #3 (4 Adrenal (2 per packet), 4 Nag Redux (2 per packet), 4 Phytonutrients (2 per packet), 2 Ubiquinol (1 per packet))",$234.00,$234.00,,
99,Immune Boosting Bundle,$112.00,$112.00,,
100,"Fasting Kit (Fasting Pak, Glutathione with electrolytes) (1 Longevi-D K2, 2 Vitamin-Mineral, 1 Magnesium, 1 Bone+Calcium, 1 NADH+DIM, 1 Essential Control)",$22.00,$22.00,,
101,"Weight Reduction Pkg (Comp Nutrition, Nat Vitality, Fat/Sugar/Trim, LipLean CLA)",$188.00,$117.00,,
102,Functional Test Kit (1 Kit),$30.00,$30.00,,
103,Methylations/Series 1 Test Kit,$100.00,$100.00,,
104,Methylations/Series 2 Test Kit,$100.00,$100.00,,
105,Nutrients Rx with Lab Work,$450.00,$247.50,,
106,Nutrients Rx with Lab Work Renewal,$450.00,$247.50,,
107,Nutrients Rx Optimal Health Kit (Optimal Health Pak with Digest-A-Meal),$140.00,$98.00,,
108,Nutrients Rx Customized Kit (Customized Health Pak with Digest-A-Meal),$140.00,$98.00,,
109,REM Sleep,,,TRUE,
110,Female + B,,,TRUE,
111,Natural Vitality,,,TRUE,
112,Optimal Collagen Plus,,,TRUE,
113,Daily Nutrient Essential Pak,,,TRUE,
114,Essential NADH,,,TRUE,
